b g r count
1 1 155 28
1 1 161 11
1 1 167 7
1 1 169 9
1 1 171 3
1 1 173 6
1 1 185 2
1 1 191 2
1 2 53 4
1 2 58 1
1 2 60 1
1 2 62 1
1 2 63 4
1 2 70 4
1 2 76 3
1 2 82 3
1 2 83 4
1 2 88 1
1 2 90 3
1 2 92 1
1 2 93 6
1 2 100 8
1 2 106 6
1 2 112 9
1 2 114 10
1 2 116 17
1 2 122 12
1 2 124 6
1 2 130 5
1 2 136 3
1 2 142 7
1 2 144 10
1 2 146 10
1 2 152 5
1 2 154 7
1 2 160 3
1 2 166 4
1 3 44 1
1 3 74 1
1 3 81 1
1 3 98 2
1 3 103 2
1 3 105 3
1 3 111 10
1 3 115 7
1 3 121 15
1 3 127 5
1 3 128 5
1 3 133 2
1 3 135 2
1 3 141 4
1 3 145 17
1 3 151 2
1 3 157 2
1 3 158 4
1 3 165 2
1 3 168 1
1 3 191 2
1 4 85 2
1 4 102 1
1 4 108 4
1 4 109 9
1 4 112 2
1 4 113 3
1 4 119 15
1 4 126 4
1 4 132 6
1 4 138 3
1 4 139 5
1 4 142 6
1 4 143 9
1 4 149 3
1 4 156 1
1 4 162 2
1 4 166 1
1 4 189 1
1 5 84 1
1 5 94 1
1 5 107 1
1 5 110 3
1 5 117 11
1 5 118 7
1 5 123 16
1 5 124 13
1 5 130 9
1 5 137 8
1 5 140 9
1 5 147 1
1 5 148 7
1 5 153 3
1 5 154 3
1 5 160 1
1 5 164 1
1 5 213 1
1 6 85 1
1 6 91 1
1 6 97 1
1 6 99 1
1 6 105 2
1 6 108 1
1 6 109 2
1 6 115 4
1 6 121 10
1 6 128 19
1 6 129 16
1 6 135 3
1 6 138 10
1 6 139 4
1 6 145 5
1 6 151 1
1 6 158 1
1 6 159 2
1 6 161 1
1 6 163 3
1 7 82 1
1 7 112 1
1 7 114 1
1 7 120 13
1 7 126 10
1 7 132 9
1 7 134 10
1 7 136 6
1 7 142 6
1 7 144 9
1 7 150 5
1 7 160 1
1 8 47 1
1 8 87 1
1 8 95 1
1 8 101 2
1 8 117 1
1 8 119 10
1 8 123 12
1 8 125 8
1 8 131 5
1 8 135 10
1 8 141 5
1 8 147 3
1 8 149 4
1 8 155 1
1 8 159 1
1 9 102 2
1 9 122 4
1 9 128 8
1 9 130 9
1 9 132 8
1 9 133 3
1 9 140 8
1 9 146 2
1 9 152 2
1 9 153 3
1 9 162 2
1 9 163 2
1 10 84 1
1 10 121 3
1 10 127 7
1 10 131 6
1 10 137 6
1 10 138 11
1 10 143 9
1 10 144 8
1 10 151 2
1 10 154 1
1 10 204 1
1 11 89 1
1 11 95 1
1 11 99 1
1 11 105 1
1 11 125 4
1 11 128 2
1 11 129 2
1 11 135 4
1 11 142 3
1 11 149 1
1 11 158 1
1 11 159 1
1 12 80 1
1 12 92 1
1 12 104 2
1 12 123 2
1 12 124 2
1 12 133 1
1 12 134 3
1 12 140 1
1 12 163 1
1 13 83 1
1 13 131 5
1 13 137 4
1 13 139 2
1 13 147 2
1 13 155 2
1 13 161 1
1 14 136 1
1 14 142 1
1 14 146 1
1 14 152 1
1 14 160 1
1 14 196 1
1 15 98 1
1 15 127 1
1 15 133 1
1 15 145 1
1 15 158 1
1 16 138 1
1 17 59 1
1 17 130 2
1 18 135 1
1 18 151 1
1 18 161 1
1 18 168 3
1 19 160 1
1 19 166 1
1 21 132 1
1 22 53 1
1 22 67 1
1 23 59 1
1 23 81 1
1 31 58 1
1 62 82 1
1 63 109 1
1 69 82 1
1 76 122 1
1 77 119 1
1 77 126 1
1 80 119 1
1 81 136 1
2 0 52 1
2 0 53 1
2 0 57 1
2 0 59 4
2 0 60 2
2 0 61 3
2 0 63 1
2 0 66 2
2 0 68 1
2 0 69 1
2 0 70 12
2 0 73 3
2 0 76 11
2 0 78 3
2 0 79 2
2 0 82 3
2 0 84 4
2 0 85 3
2 0 89 6
2 0 90 2
2 0 91 1
2 0 96 7
2 0 98 3
2 0 99 2
2 0 100 5
2 0 102 1
2 0 106 21
2 0 108 6
2 0 111 1
2 0 113 6
2 0 114 2
2 0 115 1
2 0 119 5
2 0 120 1
2 0 123 5
2 0 124 1
2 0 130 1
2 0 138 4
2 0 143 14
2 0 144 14
2 0 145 5
2 0 147 1
2 0 149 22
2 0 150 22
2 0 152 6
2 0 153 33
2 0 154 12
2 0 155 3
2 0 156 1
2 0 157 2
2 0 158 2
2 0 160 28
2 0 162 13
2 0 163 3
2 0 164 3
2 0 166 37
2 0 168 15
2 0 169 4
2 0 173 8
2 0 174 2
2 0 178 3
2 0 184 1
2 0 196 1
2 1 40 1
2 1 51 1
2 1 57 2
2 1 63 2
2 1 67 5
2 1 69 9
2 1 73 2
2 1 75 4
2 1 81 7
2 1 87 4
2 1 93 2
2 1 95 4
2 1 97 13
2 1 99 12
2 1 104 2
2 1 105 11
2 1 111 10
2 1 117 5
2 1 121 7
2 1 127 4
2 1 134 2
2 1 141 10
2 1 147 4
2 1 151 23
2 1 157 17
2 1 159 34
2 1 164 7
2 1 165 23
2 1 171 9
2 1 175 3
2 1 194 1
2 2 48 1
2 2 66 2
2 2 72 1
2 2 78 1
2 2 86 1
2 2 92 1
2 2 96 4
2 2 102 3
2 2 108 5
2 2 110 8
2 2 116 8
2 2 118 13
2 2 120 10
2 2 132 2
2 2 138 2
2 2 140 2
2 2 146 4
2 2 148 2
2 2 150 9
2 2 156 7
2 2 162 3
2 2 168 2
2 2 170 4
2 2 174 1
2 2 180 3
2 2 186 2
2 3 64 1
2 3 89 1
2 3 91 1
2 3 94 1
2 3 101 4
2 3 107 3
2 3 115 2
2 3 117 12
2 3 123 12
2 3 125 3
2 3 131 4
2 3 143 4
2 3 145 7
2 3 147 6
2 3 153 1
2 3 155 3
2 3 161 5
2 3 171 2
2 3 185 1
2 3 191 2
2 4 45 1
2 4 82 1
2 4 92 1
2 4 98 1
2 4 99 2
2 4 104 1
2 4 106 2
2 4 112 2
2 4 116 7
2 4 122 12
2 4 128 4
2 4 129 5
2 4 134 6
2 4 136 5
2 4 146 4
2 4 152 3
2 4 158 2
2 4 159 1
2 4 166 2
2 4 169 1
2 5 80 1
2 5 96 1
2 5 109 2
2 5 110 2
2 5 113 2
2 5 114 3
2 5 120 10
2 5 127 8
2 5 133 7
2 5 139 2
2 5 140 3
2 5 143 8
2 5 144 6
2 5 157 1
2 5 163 1
2 5 173 1
2 5 180 1
2 5 187 1
2 6 87 1
2 6 108 2
2 6 111 4
2 6 118 8
2 6 119 14
2 6 124 5
2 6 125 14
2 6 131 5
2 6 138 3
2 6 141 9
2 6 148 6
2 6 149 2
2 6 154 1
2 6 155 1
2 6 161 1
2 6 201 1
2 7 46 1
2 7 98 1
2 7 109 2
2 7 110 1
2 7 116 3
2 7 122 12
2 7 129 2
2 7 130 4
2 7 136 3
2 7 139 11
2 7 140 8
2 7 146 7
2 7 152 2
2 7 159 2
2 7 162 1
2 7 170 2
2 8 83 1
2 8 103 2
2 8 105 2
2 8 107 3
2 8 113 2
2 8 115 3
2 8 121 8
2 8 127 10
2 8 133 3
2 8 135 8
2 8 137 7
2 8 143 3
2 8 145 6
2 8 151 5
2 8 157 1
2 8 161 1
2 9 94 1
2 9 96 1
2 9 112 1
2 9 118 4
2 9 120 6
2 9 124 8
2 9 126 3
2 9 132 5
2 9 136 10
2 9 142 4
2 9 148 2
2 9 150 3
2 9 166 2
2 10 47 1
2 10 103 1
2 10 104 3
2 10 123 6
2 10 129 4
2 10 131 8
2 10 133 4
2 10 134 3
2 10 141 2
2 10 147 3
2 10 163 1
2 10 164 1
2 10 181 1
2 11 84 1
2 11 98 3
2 11 108 2
2 11 115 1
2 11 122 2
2 11 128 4
2 11 132 7
2 11 138 3
2 11 139 5
2 11 144 4
2 11 145 4
2 11 152 3
2 11 155 1
2 11 162 1
2 11 199 1
2 12 126 2
2 12 129 1
2 12 130 1
2 12 136 3
2 12 149 1
2 12 150 2
2 12 153 1
2 12 159 1
2 12 160 1
2 13 97 2
2 13 103 1
2 13 105 1
2 13 134 1
2 13 135 2
2 13 141 2
2 13 147 1
2 13 164 2
2 14 86 1
2 14 92 1
2 14 116 1
2 14 126 1
2 14 132 2
2 14 138 3
2 14 146 1
2 14 150 3
2 14 162 2
2 14 180 1
2 15 83 1
2 15 91 1
2 16 134 1
2 16 136 2
2 16 152 1
2 16 159 1
2 17 133 1
2 17 139 1
2 17 140 1
2 17 144 1
2 18 94 1
2 18 165 1
2 19 152 1
2 20 145 1
2 21 58 1
2 22 131 1
2 22 133 1
2 23 54 1
2 23 68 1
2 23 145 1
2 26 84 1
2 36 59 1
2 44 91 1
2 55 75 1
2 64 80 1
2 77 116 1
2 84 139 1
2 90 127 1
3 0 48 1
3 0 50 1
3 0 55 2
3 0 56 2
3 0 59 2
3 0 60 1
3 0 62 2
3 0 64 3
3 0 69 1
3 0 70 1
3 0 71 2
3 0 72 1
3 0 73 1
3 0 74 3
3 0 75 2
3 0 80 2
3 0 81 1
3 0 83 2
3 0 86 1
3 0 92 1
3 0 94 1
3 0 99 1
3 0 100 1
3 0 103 3
3 0 105 1
3 0 109 7
3 0 115 1
3 0 118 1
3 0 139 3
3 0 140 2
3 0 142 1
3 0 145 10
3 0 146 16
3 0 148 10
3 0 152 1
3 0 153 18
3 0 154 9
3 0 155 8
3 0 156 45
3 0 157 3
3 0 158 25
3 0 159 7
3 0 163 27
3 0 164 28
3 0 165 10
3 0 167 3
3 0 168 2
3 0 169 16
3 0 170 17
3 0 172 4
3 0 173 2
3 0 178 1
3 0 179 1
3 0 180 1
3 0 203 1
3 1 60 2
3 1 71 3
3 1 77 3
3 1 83 3
3 1 90 1
3 1 91 1
3 1 97 1
3 1 101 7
3 1 107 2
3 1 120 1
3 1 121 3
3 1 124 2
3 1 125 1
3 1 131 1
3 1 144 9
3 1 150 4
3 1 151 15
3 1 154 15
3 1 155 40
3 1 161 22
3 1 167 21
3 1 174 6
3 1 175 2
3 1 177 2
3 1 184 2
3 1 197 1
3 2 68 2
3 2 76 2
3 2 88 2
3 2 94 1
3 2 98 2
3 2 100 4
3 2 105 1
3 2 106 2
3 2 118 4
3 2 122 6
3 2 128 2
3 2 130 1
3 2 135 2
3 2 142 2
3 2 148 4
3 2 152 8
3 2 158 5
3 2 160 4
3 2 165 5
3 2 166 10
3 2 172 6
3 2 176 1
3 2 182 2
3 2 188 1
3 2 190 1
3 2 195 1
3 3 57 2
3 3 63 1
3 3 73 1
3 3 81 1
3 3 97 3
3 3 103 3
3 3 109 3
3 3 111 2
3 3 117 3
3 3 119 6
3 3 121 2
3 3 127 1
3 3 139 3
3 3 141 4
3 3 147 11
3 3 149 8
3 3 151 2
3 3 157 2
3 3 163 3
3 3 171 1
3 3 187 1
3 3 193 1
3 4 84 1
3 4 95 1
3 4 102 1
3 4 108 10
3 4 114 2
3 4 116 6
3 4 118 12
3 4 124 2
3 4 126 3
3 4 132 8
3 4 138 6
3 4 144 4
3 4 146 4
3 4 148 11
3 4 156 1
3 4 162 2
3 4 168 1
3 4 184 2
3 4 192 1
3 4 202 2
3 4 208 1
3 5 93 1
3 5 100 1
3 5 105 1
3 5 107 1
3 5 117 5
3 5 123 7
3 5 129 11
3 5 130 5
3 5 135 2
3 5 137 3
3 5 143 2
3 5 147 3
3 5 153 3
3 5 159 1
3 5 160 1
3 5 170 1
3 5 193 1
3 5 200 2
3 5 207 2
3 6 104 1
3 6 111 3
3 6 114 5
3 6 115 3
3 6 121 5
3 6 128 8
3 6 134 6
3 6 140 1
3 6 144 3
3 6 145 3
3 6 151 2
3 6 158 1
3 6 164 3
3 6 174 1
3 6 188 2
3 6 191 1
3 6 198 1
3 6 205 1
3 7 78 1
3 7 85 1
3 7 86 1
3 7 96 1
3 7 109 1
3 7 112 1
3 7 119 4
3 7 120 8
3 7 125 6
3 7 126 14
3 7 132 7
3 7 139 1
3 7 142 5
3 7 149 6
3 7 150 5
3 7 156 3
3 7 166 1
3 8 93 1
3 8 110 1
3 8 111 3
3 8 117 5
3 8 123 4
3 8 130 4
3 8 131 4
3 8 137 3
3 8 140 3
3 8 141 3
3 8 147 1
3 8 160 1
3 8 161 1
3 8 163 1
3 8 165 1
3 8 207 1
3 9 86 1
3 9 116 1
3 9 122 5
3 9 128 3
3 9 134 3
3 9 136 7
3 9 138 3
3 9 144 3
3 9 146 5
3 9 152 2
3 9 176 1
3 9 198 1
3 10 90 2
3 10 95 1
3 10 97 1
3 10 103 1
3 10 107 1
3 10 113 1
3 10 119 1
3 10 121 7
3 10 125 1
3 10 127 8
3 10 133 2
3 10 137 6
3 10 143 2
3 10 149 3
3 10 151 3
3 10 159 1
3 10 161 2
3 10 221 1
3 11 78 1
3 11 104 3
3 11 105 1
3 11 124 5
3 11 132 7
3 11 134 3
3 11 135 3
3 11 142 7
3 11 148 3
3 11 154 1
3 11 165 1
3 12 99 3
3 12 102 1
3 12 133 1
3 12 140 1
3 12 145 3
3 12 146 4
3 12 153 2
3 12 156 4
3 12 163 1
3 13 97 1
3 13 114 1
3 13 127 1
3 13 137 1
3 13 151 3
3 13 154 3
3 13 155 3
3 13 161 1
3 14 96 1
3 14 106 1
3 14 125 1
3 14 126 2
3 14 135 1
3 14 136 5
3 14 142 1
3 14 158 2
3 14 165 2
3 15 85 1
3 15 87 1
3 15 93 1
3 15 123 1
3 15 147 2
3 15 151 1
3 15 157 1
3 15 199 1
3 16 90 1
3 16 144 1
3 16 154 1
3 16 156 1
3 16 162 1
3 17 137 1
3 17 153 1
3 18 87 1
3 18 128 1
3 18 144 1
3 19 132 1
3 19 149 1
3 20 87 1
3 20 137 1
3 23 70 1
3 23 71 1
3 24 69 2
3 25 121 1
3 32 63 1
3 39 85 1
3 41 41 1
3 46 73 1
3 56 93 1
3 81 128 1
3 84 141 1
3 88 134 1
3 90 130 1
4 0 48 1
4 0 50 1
4 0 51 1
4 0 52 3
4 0 53 1
4 0 59 2
4 0 60 2
4 0 61 1
4 0 66 1
4 0 70 1
4 0 71 1
4 0 75 2
4 0 76 2
4 0 84 2
4 0 95 3
4 0 101 2
4 0 103 1
4 0 105 2
4 0 106 1
4 0 112 2
4 0 119 1
4 0 120 1
4 0 125 1
4 0 133 1
4 0 136 1
4 0 143 5
4 0 144 6
4 0 149 20
4 0 150 13
4 0 152 3
4 0 154 1
4 0 155 36
4 0 156 38
4 0 158 14
4 0 159 39
4 0 160 14
4 0 161 2
